displayName;givenName;surname;city;country
Slainie Moreau;Slainie;Moreau;MARSEILLE;FR
Fiacre Robillard;Fiacre;Robillard;BASEL;CH
Vail Louineaux;Vail;Louineaux;SCHNEIT;CH
Pierre Blanchard;Pierre;Blanchard;NOGENT-SUR-MARNE;FR
Fiacre Soucy;Fiacre;Soucy;HALLE-BOOIENHOVEN;BE
Thiery Huppé;Thiery;Huppé;FOURBECHIES;BE
Matilda Senneville;Matilda;Senneville;MOGHEGNO;CH
Adrien Pichette;Adrien;Pichette;MÂCON;FR
Hedvige Chouinard;Hedvige;Chouinard;NOISY-LE-SEC;FR
Chandler Leduc;Chandler;Leduc;COMBREMONT-LE-GRAND;CH
Anton Levasseur;Anton;Levasseur;WANFERCÉE-BAULET;BE
Armand Avare;Armand;Avare;MARTIGUES;FR
Alexandrie Clavette;Alexandrie;Clavette;HERMENCHES;CH
Bayard Bellemare;Bayard;Bellemare;TOULOUSE;FR
Jules Collin;Jules;Collin;PARIS;FR
Harriette Doucet;Harriette;Doucet;ENDINGEN;CH
Victorine Lamontagne;Victorine;Lamontagne;SAINT-CLOUD;FR
Bernard Vachon;Bernard;Vachon;TOURS;FR
Felicien Houle;Felicien;Houle;ZAUGGENRIED;CH
Laure Bourgeois;Laure;Bourgeois;LANGEMARK-POELKAPELLE;BE
Lyle Goguen;Lyle;Goguen;WALTWILDER;BE
Belisarda Lajoie;Belisarda;Lajoie;BESELARE;BE
Grégoire Beaudouin;Grégoire;Beaudouin;RANDA;CH
Alacoque Fresne;Alacoque;Fresne;KOOLKERKE;BE
Jewel Guilmette;Jewel;Guilmette;MARSEILLE;FR
Burrell Bouchard;Burrell;Bouchard;GEEST-GÉROMPONT-PT-ROSIÈRE;BE
Marsilius DuLin;Marsilius;DuLin;WINKLEN;CH
Lyle Belisle;Lyle;Belisle;ORIGLIO;CH
Genevre Mouet;Genevre;Mouet;OEKENE;BE
Aloin Beauchamps;Aloin;Beauchamps;ZÜRICH;CH
Olympia Simard;Olympia;Simard;FALMAGNE;BE
Sennet St-Pierre;Sennet;St-Pierre;CALONICO;CH
Sargent Gaudreau;Sargent;Gaudreau;MENZINGEN;CH
Chapin Champagne;Chapin;Champagne;SINT-HUIBRECHTS-HERN;BE
Fleurette Guimond;Fleurette;Guimond;WULVERINGEM;BE
Burrell Chatigny;Burrell;Chatigny;MORKHOVEN;BE
Guerin Brian;Guerin;Brian;MARSEILLE;FR
Maurice Lespérance;Maurice;Lespérance;WARET-L'EVÊQUE;BE
Mariette Desaulniers;Mariette;Desaulniers;ROSOUX-CRENWICK;BE
Madelene Bernard;Madelene;Bernard;MARSEILLE;FR
Clarimunda Paquette;Clarimunda;Paquette;GRÜNEN;CH
Francis Tachel;Francis;Tachel;ZÜRICH;CH
Eglantine Ailleboust;Eglantine;Ailleboust;BISTER;CH
Donat Charette;Donat;Charette;TRÉLEX;CH
Denis Bureau;Denis;Bureau;BEVEREN-WAAS;BE
Raina Migneault;Raina;Migneault;LA SIONGE;CH
Christophe Deslauriers;Christophe;Deslauriers;STECKBORN;CH
Armand Mailloux;Armand;Mailloux;LOBBES;BE
Romain Lambert;Romain;Lambert;HÄGGLINGEN;CH
Javier Noël;Javier;Noël;CHAMPOTEY;CH
Dominic Miron;Dominic;Miron;TSCHEPPACH;CH
Marc L'Angelier;Marc;L'Angelier;TOULOUSE;FR
Desire Pelchat;Desire;Pelchat;GRINDEL;CH
Matthieu Paquette;Matthieu;Paquette;WECKINGEN;CH
Gérard Charlebois;Gérard;Charlebois;RIS-ORANGIS;FR
Heloise Leclerc;Heloise;Leclerc;SALES;CH
Nadine Gervais;Nadine;Gervais;KINDHAUSEN;CH
René Couet;René;Couet;BALSTHAL;CH
Gérard Lambert;Gérard;Lambert;MONT-SAINT-AIGNAN;FR
Felicienne Goddu;Felicienne;Goddu;LYON;FR
Rémy Caisse;Rémy;Caisse;GUIRSCH;BE
Lundy Blanchard;Lundy;Blanchard;NÜRENSDORF;CH
Babette Sciverit;Babette;Sciverit;ARMENTIÈRES;FR
Florismart Bélanger;Florismart;Bélanger;VILLERS-PERWIN;BE
Christelle Allain;Christelle;Allain;GRIMBERGEN;BE
Benoît David;Benoît;David;VOTTEM;BE
Gabrielle Bourgouin;Gabrielle;Bourgouin;LA LÉCHERETTE;CH
Caresse Fresne;Caresse;Fresne;ÉPINAL;FR
Rosamonde Cyr;Rosamonde;Cyr;ST-CERGUE;CH
Adélaïde Fréchette;Adélaïde;Fréchette;FURNAUX;BE
Byron Saucier;Byron;Saucier;SCHINDELLEGI;CH
Gill Mireault;Gill;Mireault;PONTOISE;FR
Oriel Marois;Oriel;Marois;BALEGEM;BE
Villette Grandpré;Villette;Grandpré;ZULTE;BE
Cendrillon Lanctot;Cendrillon;Lanctot;STRASBOURG;FR
Travers Bériault;Travers;Bériault;VILLERS-LE-GAMBON;BE
Colette Mireault;Colette;Mireault;SCHACHEN BEI REUTE;CH
Marcelle Garnier;Marcelle;Garnier;GONESSE;FR
Joy Monjeau;Joy;Monjeau;ENGELBERG;CH
Carole Montminy;Carole;Montminy;LEVALLOIS-PERRET;FR
Gifford Labbé;Gifford;Labbé;CABBIOLO;CH
Fleur Cuillerier;Fleur;Cuillerier;FEHRALTORF;CH
Bayard Durepos;Bayard;Durepos;HÉVILLERS;BE
Felicienne Beaulé;Felicienne;Beaulé;NOUMÉA;FR
Mirabelle Despins;Mirabelle;Despins;VIGNEUX-SUR-SEINE;FR
Fleurette Viens;Fleurette;Viens;PANTIN;FR
Royce Beaulac;Royce;Beaulac;BARGEN;CH
Fleur Lapresse;Fleur;Lapresse;BIÉVÈNE;BE
Beltane Gour;Beltane;Gour;PALISEUL;BE
Philippe Hébert;Philippe;Hébert;DURNAL;BE
Lotye Jodoin;Lotye;Jodoin;CARONA;CH
Dominique Gour;Dominique;Gour;GRANDE-SYNTHE;FR
Oriel Fluet;Oriel;Fluet;OBERÖSCH;CH
Dominique Binet;Dominique;Binet;ARMENTIÈRES;FR
Adorlee Auger;Adorlee;Auger;PROVENCE;CH
France Querry;France;Querry;PANTIN;FR
Stéphanie Dubois;Stéphanie;Dubois;BALERNA;CH
Slainie Achin;Slainie;Achin;GOTTIGNIES;BE
Mallory Gervais;Mallory;Gervais;HEER;BE
Afrodille Turcotte;Afrodille;Turcotte;GETTNAU;CH
Isabelle Jodion;Isabelle;Jodion;LES MUREAUX;FR
Zacharie Chartré;Zacharie;Chartré;VÉLIZY-VILLACOUBLAY;FR
Langley Dubé;Langley;Dubé;LÜTISBURG;CH
Amabella Moreau;Amabella;Moreau;CHABREY;CH
Garland Grimard;Garland;Grimard;STEENHUFFEL;BE
Porter Bordeleau;Porter;Bordeleau;WINTERTHUR;CH
Pryor Grandpré;Pryor;Grandpré;MERGOSCIA;CH
Laurene Benoit;Laurene;Benoit;NICE;FR
Céline Bisaillon;Céline;Bisaillon;WAREGEM;BE
Mariette Parenteau;Mariette;Parenteau;RANZO;CH
Grégoire Ricard;Grégoire;Ricard;SAINT-PIERRE-ET-MIQUELON;FR
Satordi Parent;Satordi;Parent;NOBRESSART;BE
Vaden Sevier;Vaden;Sevier;ROSSWALD;CH
Henri Lagacé;Henri;Lagacé;CRÉTEIL;FR
Philip Marseau;Philip;Marseau;LUSSY;CH
Serge Beaulac;Serge;Beaulac;LE TAMPON;FR
Éléonore Sabourin;Éléonore;Sabourin;GRINDELWALD;CH
Tristan Patry;Tristan;Patry;MONTIGNY-LE-TILLEUL;BE
Antoinette Lazure;Antoinette;Lazure;LUZERN;CH
Honore Caisse;Honore;Caisse;MEUDON;FR
Leverett Cantin;Leverett;Cantin;OBAIX;BE
Emmanuel Sirois;Emmanuel;Sirois;CASTRES;FR
Linette Bergeron;Linette;Bergeron;DÖRFLI;CH
Slainie Pomerleau;Slainie;Pomerleau;VITROLLES;FR
Florus Lespérance;Florus;Lespérance;OOSTHAM;BE
Jeanette Roy;Jeanette;Roy;ORCQ;BE
Adrien Lamothe;Adrien;Lamothe;OBERWENINGEN;CH
Frontino Tessier;Frontino;Tessier;HORN;CH
Perrin Étoile;Perrin;Étoile;BEAUNE;FR
Denise Létourneau;Denise;Létourneau;MERIDE;CH
Gustave Beauchesne;Gustave;Beauchesne;CAMBRAI;FR
Chantal Labonté;Chantal;Labonté;GIOVA;CH
Sydney Lepage;Sydney;Lepage;PARIS;FR
Marthe Gougeon;Marthe;Gougeon;HORION-HOZÉMONT;BE
Granville Ducharme;Granville;Ducharme;JENEFFE;BE
Carolos Courtois;Carolos;Courtois;LOTZWIL;CH
Germain Grandpré;Germain;Grandpré;MALONNE;BE
Donat Reault;Donat;Reault;GÄCHLIWIL;CH
Stéphane Parizeau;Stéphane;Parizeau;LANTSCH/LENZ;CH
Royale Souplet;Royale;Souplet;METZ;FR
Yves Baron;Yves;Baron;STOKROOIE;BE
Royce Doiron;Royce;Doiron;RECONVILIER;CH
Latimer Labonté;Latimer;Labonté;BELSELE;BE
Ferrau Therrien;Ferrau;Therrien;MARSEILLE;FR
Sargent Therrien;Sargent;Therrien;LYON;FR
Xarles Larocque;Xarles;Larocque;GÜNDLISCHWAND;CH
Harcourt L'Anglais;Harcourt;L'Anglais;LES ULIS;FR
Sébastien Sabourin;Sébastien;Sabourin;HOUILLES;FR
Yvette Deschamps;Yvette;Deschamps;LA PLAINE-SAINT-DENIS;FR
Amorette Racicot;Amorette;Racicot;SINT-MARTENS-BODEGEM;BE
Inès Dandonneau;Inès;Dandonneau;ARENDONK;BE
Geoffrey Quirion;Geoffrey;Quirion;ST. NIKLAUSEN;CH
Charles Beaudry;Charles;Beaudry;ROUX;BE
Gérard Gilbert;Gérard;Gilbert;DIEGEM;BE
Tabor Favreau;Tabor;Favreau;DENDERBELLE;BE
Clothilde Achin;Clothilde;Achin;CIPLY;BE
Belisarda Gaulin;Belisarda;Gaulin;MUTTENZ;CH
Senior Givry;Senior;Givry;CACHAN;FR
Mathilde Proulx;Mathilde;Proulx;NIEDERBIPP;CH
Percy Lanctot;Percy;Lanctot;VÉNISSIEUX;FR
Dielle Meilleur;Dielle;Meilleur;DAMMARIE-LES-LYS;FR
Renée L'Angelier;Renée;L'Angelier;LA MAGNE;CH
Madeleine Vachon;Madeleine;Vachon;HENRIPONT;BE
Éric Frappier;Éric;Frappier;JANDRAIN-JANDRENOUILLE;BE
Adélaïde Despins;Adélaïde;Despins;MONTMAGNY;CH
Colette Dufresne;Colette;Dufresne;PONTAULT-COMBAULT;FR
Guerin Huot;Guerin;Huot;SAINT-PIERRE-ET-MIQUELON;FR
Pensee Parmentier;Pensee;Parmentier;LIXHE;BE
Onfroi Riel;Onfroi;Riel;LIGNEROLLE;CH
Olivier Marcheterre;Olivier;Marcheterre;ÉLANCOURT;FR
Ganelon Beaulé;Ganelon;Beaulé;TOULON;FR
Faustin Huppé;Faustin;Huppé;STROHWILEN;CH
Medoro Vachon;Medoro;Vachon;QUAREGNON;BE
Flordelis Brochu;Flordelis;Brochu;GONESSE;FR
Corinne Goguen;Corinne;Goguen;ELINGEN;BE
Pryor Coupart;Pryor;Coupart;LINDENTAL;CH
Patrick Pirouet;Patrick;Pirouet;ECUBLENS;CH
Aceline Thériault;Aceline;Thériault;VAUX-CHAVANNE;BE
Valentine Turcotte;Valentine;Turcotte;WOESTEN;BE
Kari Lizotte;Kari;Lizotte;MARSEILLE;FR
Zerbino Beaudry;Zerbino;Beaudry;ABBEVILLE;FR
Platt Dandonneau;Platt;Dandonneau;ENGELSWILEN;CH
Francis Laisné;Francis;Laisné;APPLES;CH
Emmanuel Lapresse;Emmanuel;Lapresse;OUDEGEM;BE
Joanna Barrière;Joanna;Barrière;LE PERREUX-SUR-MARNE;FR
Nathalie Beaudry;Nathalie;Beaudry;WIJNEGEM;BE
Norris Beaulac;Norris;Beaulac;OELEGEM;BE
Millard Couturier;Millard;Couturier;WINENNE;BE
Fanette Guay;Fanette;Guay;URMEIN;CH
Hugues Marseau;Hugues;Marseau;GONTRODE;BE
David Langlais;David;Langlais;COURBEVOIE;FR
Comforte Marceau;Comforte;Marceau;HOFSTADE;BE
Troy Binet;Troy;Binet;LIMBOURG;BE
Jules de Chateaub;Jules;de Chateaub;WESTENDE;BE
Auda Duffet;Auda;Duffet;SELLENBÜREN;CH
Harbin Plante;Harbin;Plante;ZWEISIMMEN;CH
Donatien Galarneau;Donatien;Galarneau;MAASMECHELEN;BE
Josette Beaulieu;Josette;Beaulieu;POLLEGIO;CH
Andrée Fecteau;Andrée;Fecteau;NASSOGNE;BE
Dreux Coupart;Dreux;Coupart;BOULOGNE-SUR-MER;FR
Sylvie Deschamps;Sylvie;Deschamps;SAINTE-MARIE;FR
Aymon Laderoute;Aymon;Laderoute;GRIGNY;FR
Eleanor Laramée;Eleanor;Laramée;MUSCHELBERG;CH
Byron Lebrun;Byron;Lebrun;ROTSELAAR;BE
Alphonsine Metivier;Alphonsine;Metivier;NICE;FR
Alfred Larivière;Alfred;Larivière;BALERNA;CH
Joséphine Parent;Joséphine;Parent;BIARRITZ;FR
Philippe Mailloux;Philippe;Mailloux;NICE;FR
Édouard Étoile;Édouard;Étoile;SILS IM DOMLESCHG;CH
Harbin Lachance;Harbin;Lachance;LE ROBERT;FR
Olivie Begin;Olivie;Begin;VERTOU;FR
Sébastien Grivois;Sébastien;Grivois;VILLETTE;CH
Huette Miron;Huette;Miron;LEVALLOIS-PERRET;FR
Arthur Plouffe;Arthur;Plouffe;HAMIPRÉ;BE
Huette Salois;Huette;Salois;LIMOGES;FR
Éléonore Déziel;Éléonore;Déziel;DOLE;FR
Flordelis Busque;Flordelis;Busque;GLETSCH;CH
Fayme Simard;Fayme;Simard;BERNECK;CH
Brice LaGarde;Brice;LaGarde;HAZEBROUCK;FR
Danielle Mercier;Danielle;Mercier;DENTERGEM;BE
Annette Leblanc;Annette;Leblanc;DOTTENBERG;CH
Louise Pouliotte;Louise;Pouliotte;HEMMENTAL;CH
Eliot Plourde;Eliot;Plourde;BRUNNENTHAL;CH
Édith Gosselin;Édith;Gosselin;LEUVEN;BE
Phillipa Mailhot;Phillipa;Mailhot;LIBOURNE;FR
Zdenek Bisaillon;Zdenek;Bisaillon;MARBAIX;BE
Xarles Descoteaux;Xarles;Descoteaux;LÉCHELLES;CH
Vick Tanguay;Vick;Tanguay;VILLERS-SUR-SEMOIS;BE
Hamilton Robert;Hamilton;Robert;PARIS;FR
Bayard Paquet;Bayard;Paquet;CAMPASCIO;CH
Ranger Miron;Ranger;Miron;NEUILLY-SUR-SEINE;FR
Honoré Gaillou;Honoré;Gaillou;LES AVANTS;CH
Sumner Lavoie;Sumner;Lavoie;CHERBOURG;FR
Frédérique Pouchard;Frédérique;Pouchard;LYON;FR
Patricia Mousseau;Patricia;Mousseau;LIMOGES;FR
Dixie Plouffe;Dixie;Plouffe;CHAMBÉSY;CH
Marthe Meilleur;Marthe;Meilleur;SCHLIEREN;CH
Carolos Bergeron;Carolos;Bergeron;KEMMEL;BE
Valiant Langlois;Valiant;Langlois;ZÉTRUD-LUMAY;BE
Agathe Laforge;Agathe;Laforge;VILLEFRANCHE-SUR-SAÔNE;FR
France Ayot;France;Ayot;NIEDERBOTTIGEN;CH
Astolpho Patry;Astolpho;Patry;SARNEN;CH
Jules Piedalue;Jules;Piedalue;NEVERS;FR
Victorine Bizier;Victorine;Bizier;SEDAN;FR
Hugues Busson;Hugues;Busson;LAMBERSART;FR
Pryor Bois;Pryor;Bois;LAFORÊT;BE
Serge Gauvin;Serge;Gauvin;BOURG-EN-BRESSE;FR
Armina Bonsaint;Armina;Bonsaint;HABKERN;CH
Nicolette Lanoie;Nicolette;Lanoie;OKEGEM;BE
Eglantine Carrière;Eglantine;Carrière;MERLEMONT;BE
Frontino Ruel;Frontino;Ruel;MONTPELLIER;FR
Cosette Bordeaux;Cosette;Bordeaux;NICE;FR
Frédéric Chabot;Frédéric;Chabot;ST. GALLENKAPPEL;CH
Théophile L'Angelier;Théophile;L'Angelier;SÈVRES;FR
Soren Étoile;Soren;Étoile;PARIS;FR
Hedvige Aubé;Hedvige;Aubé;ÉCHIROLLES;FR
Fletcher Patry;Fletcher;Patry;SCHRIEK;BE
Marveille Boisclair;Marveille;Boisclair;WARET-LA-CHAUSSÉE;BE
Latimer Truchon;Latimer;Truchon;MARIASTEIN;CH
Viollette Dubois;Viollette;Dubois;DENAIN;FR
Favor Chandonnet;Favor;Chandonnet;CAVAILLON;FR
Fabrice Lambert;Fabrice;Lambert;FRANCONVILLE-LA-GARENNE;FR
Lotye Baron;Lotye;Baron;MARSEILLE;FR
Jeanette Laframboise;Jeanette;Laframboise;BELLEGEM;BE
Karel Garreau;Karel;Garreau;GAP;FR
Lucille Beauchesne;Lucille;Beauchesne;ZUCHWIL;CH
Brigitte Thibodeau;Brigitte;Thibodeau;VLEKKEM;BE
Fantina Lemaître;Fantina;Lemaître;PONTILLAS;BE
Pascaline Mailhot;Pascaline;Mailhot;ETAGNIÈRES;CH
Alexandre Chevrette;Alexandre;Chevrette;ANTWERPEN;BE
Lowell Devost;Lowell;Devost;MANOSQUE;FR
Franck Larivière;Franck;Larivière;LÄUFELFINGEN;CH
Vachel Lang;Vachel;Lang;SAINT-LAURENT-DU-VAR;FR
Noelle Ménard;Noelle;Ménard;ISNES;BE
Latimer Rocher;Latimer;Rocher;LAPSCHEURE;BE
Anastasie Montminy;Anastasie;Montminy;MONTMORENCY;FR
Gilles Robitaille;Gilles;Robitaille;RECHTHALTEN;CH
Aloin de Brisay;Aloin;de Brisay;CLAVIER;BE
Astolpho Chandonnet;Astolpho;Chandonnet;MONT-SUR-ROLLE;CH
Agnès Deschênes;Agnès;Deschênes;IBERG;CH
Avril Achin;Avril;Achin;LES LILAS;FR
Fabienne Dubé;Fabienne;Dubé;MICHEROUX;BE
Laetitia Larivière;Laetitia;Larivière;PLAISIR;FR
Laurence Piedalue;Laurence;Piedalue;FONTENAY-AUX-ROSES;FR
Gilles Laisné;Gilles;Laisné;SÜNIKON;CH
Berangaria Labrosse;Berangaria;Labrosse;ZONNEBEKE;BE
Beaufort Sabourin;Beaufort;Sabourin;VILLEPINTE;FR
Marveille Lebel;Marveille;Lebel;STIERVA;CH
Fifi Lizotte;Fifi;Lizotte;ST. GALLEN;CH
Émile Majory;Émile;Majory;PENTHÉRÉAZ;CH
Burrell Daigneault;Burrell;Daigneault;DIEZIKON;CH
Favor Berger;Favor;Berger;CLERMONT-FERRAND;FR
Azura Coupart;Azura;Coupart;MARTHERENGES;CH
Coralie Sirois;Coralie;Sirois;OYONNAX;FR
Christelle Jobin;Christelle;Jobin;POULSEUR;BE
Sylvie Monty;Sylvie;Monty;SAINT-ÉTIENNE;FR
Olympia Auberjonois;Olympia;Auberjonois;SALON-DE-PROVENCE;FR
Alexis Goguen;Alexis;Goguen;MELUN;FR
Granville Morel;Granville;Morel;AJACCIO;FR
Ormazd Bertrand;Ormazd;Bertrand;UZWIL;CH
Roch Faure;Roch;Faure;KLEINE-BROGEL;BE
Chapin Cousteau;Chapin;Cousteau;VILLENEUVE-D'ASCQ;FR
Germaine Dionne;Germaine;Dionne;FRANCHIMONT;BE
Leone Patel;Leone;Patel;RUMSDORP;BE
Honore Marleau;Honore;Marleau;VIERVES-SUR-VIROIN;BE
Olympia Paquin;Olympia;Paquin;FOUGÈRES;FR
Brie Hughes;Brie;Hughes;TOULOUSE;FR
Esmeraude Vincent;Esmeraude;Vincent;MEINISWIL;CH
Nicolas Dubé;Nicolas;Dubé;BIRRHARD;CH
Comforte Cadieux;Comforte;Cadieux;CANNES;FR
Paulette Montminy;Paulette;Montminy;LE PERREUX-SUR-MARNE;FR
Russell Lussier;Russell;Lussier;ORMALINGEN;CH
Blondelle Achin;Blondelle;Achin;ON;BE
Nicholas Artois;Nicholas;Artois;PARIS;FR
Amarante Laliberté;Amarante;Laliberté;CURTINA;CH
Percy Vaillancour;Percy;Vaillancour;NEUFCHÂTEAU;BE
Bernadette Dastous;Bernadette;Dastous;GRATY;BE
Ormazd Bourgeois;Ormazd;Bourgeois;OBERWIL BEI BÜREN;CH
Fabien Voisine;Fabien;Voisine;GELUVELD;BE
Aubrey Bernard;Aubrey;Bernard;SÄRISWIL;CH
Arber Allaire;Arber;Allaire;SALON-DE-PROVENCE;FR
Searlait Devost;Searlait;Devost;SAUTIN;BE
Vaden Monjeau;Vaden;Monjeau;GIJZENZELE;BE
Renée Quinn;Renée;Quinn;ROTEM;BE
Henry De La Ronde;Henry;De La Ronde;ITTERBEEK;BE
Philippine Provencher;Philippine;Provencher;ROOSDAAL;BE
Elita Monjeau;Elita;Monjeau;AMIENS;FR
Avent Baron;Avent;Baron;NANCY;FR
Saber Cotuand;Saber;Cotuand;GAGNY;FR
Patricia Brousse;Patricia;Brousse;MONTÉLIMAR;FR
Diane Desnoyer;Diane;Desnoyer;LAMONTZÉE;BE
Édouard Pelletier;Édouard;Pelletier;PESSAC;FR
Curtis Desjardins;Curtis;Desjardins;BERGILERS;BE
Brunella Montminy;Brunella;Montminy;CÉROUX-MOUSTY;BE
Orville Tollmache;Orville;Tollmache;POLIEZ-PITTET;CH
Océane Sylvain;Océane;Sylvain;NÄFELS;CH
Soren Bourgouin;Soren;Bourgouin;LOENHOUT;BE
Archard Guibord;Archard;Guibord;MONCEAU-SUR-SAMBRE;BE
Amorette Favreau;Amorette;Favreau;ST-SAPHORIN-SUR-MORGES;CH
Eustache Hachée;Eustache;Hachée;RENNES;FR
Campbell Paiement;Campbell;Paiement;PONTOISE;FR
Creissant Sirois;Creissant;Sirois;MOLLIE-MARGOT;CH
Fleur CinqMars;Fleur;CinqMars;WATTRIPONT;BE
Franck Vincent;Franck;Vincent;BRAKEL;BE
Jacqueline Mailloux;Jacqueline;Mailloux;LANZENNEUNFORN;CH
Roxanne Benoit;Roxanne;Benoit;NANINNE;BE
Nicolette Laforge;Nicolette;Laforge;VIERZON;FR
Gustave Bernard;Gustave;Bernard;CHÂTEAUROUX;FR
Christabel Clément;Christabel;Clément;GRUNE;BE
Sydney Desroches;Sydney;Desroches;VALENCE;FR
Saber Gilbert;Saber;Gilbert;HANZINELLE;BE
Oliver Cousteau;Oliver;Cousteau;DZAOUDZI;FR
Vail Doucet;Vail;Doucet;MONT-GAUTHIER;BE
Cheney Saucier;Cheney;Saucier;CHÊNE-BOUGERIES;CH
Rive Huppé;Rive;Huppé;BAIE-MAHAULT;FR
Bayard Cartier;Bayard;Cartier;TOULOUSE;FR
Astrid Monty;Astrid;Monty;LYON;FR
Melusina Ricard;Melusina;Ricard;BOURRIGNON;CH
Peverell Poisson;Peverell;Poisson;MOERBEKE;BE
Édith Charette;Édith;Charette;ST. PANTALEON;CH
Noël Paquet;Noël;Paquet;CHAMBÉRY;FR
Xavier Beaujolie;Xavier;Beaujolie;VILLA LUGANESE;CH
Arlette David;Arlette;David;GRATY;BE
Talbot Guay;Talbot;Guay;FRÜMSEN;CH
Fleur Dufour;Fleur;Dufour;SEVRAN;FR
Gustave Gamache;Gustave;Gamache;MEAUX;FR
Christien L'Angelier;Christien;L'Angelier;PUSSEMANGE;BE
Parfait Beaulé;Parfait;Beaulé;PRESINGE;CH
Dreux Martel;Dreux;Martel;ST-MAURICE;CH
Searlas Phaneuf;Searlas;Phaneuf;TOULON;FR
Christian Turgeon;Christian;Turgeon;ESSEN;BE
Blanchefle Langelier;Blanchefle;Langelier;TARBES;FR
Calandre Demers;Calandre;Demers;LA ROGIVUE;CH
Magnolia Morin;Magnolia;Morin;LUNEL;FR
Marmion Lamour;Marmion;Lamour;KEMPFHOF;CH
Fayette Lepage;Fayette;Lepage;AMDEN;CH
Angelette Gamelin;Angelette;Gamelin;RÜSCHEGG;CH
Amber Trudeau;Amber;Trudeau;OBSTALDEN;CH
Margaux Simon;Margaux;Simon;NEVERS;FR
Margaux Beaudry;Margaux;Beaudry;MERLIGEN;CH
Oliver Desaulniers;Oliver;Desaulniers;CRÉTEIL;FR
Talon de Brisay;Talon;de Brisay;ISSY-LES-MOULINEAUX;FR
Gaston Deslauriers;Gaston;Deslauriers;BIERSET;BE
Gilles Caisse;Gilles;Caisse;SAMBREVILLE;BE
Tanguy Masson;Tanguy;Masson;RIFFERSWIL;CH
Pauline Narcisse;Pauline;Narcisse;ROUEN;FR
Jacqueline Leblanc;Jacqueline;Leblanc;WINISTORF;CH
Nicolette Guédry;Nicolette;Guédry;TRIN MULIN;CH
Laverne Rivard;Laverne;Rivard;GÜNTISBERG;CH
Varden Bisaillon;Varden;Bisaillon;VLISSEGEM;BE
Estelle Croteau;Estelle;Croteau;HOEKE;BE
Adrienne Bernier;Adrienne;Bernier;ENGI;CH
Troy LaCaille;Troy;LaCaille;LA SEYNE-SUR-MER;FR
Amélie Lamontagne;Amélie;Lamontagne;RUSWIL;CH
